designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
Gaia DR3 69860735446872832,69860735446872832,56.43141681339285,25.276328334310655,11.375445890313223,142.01690736652574,-172.2284248425597,1.046477,19.486807,1.0687542,,NOT_AVAILABLE,0,true,false,false,false,false,false,false,,,,,,,,Pleiades,56.65833,24.17806,7.364,19.997,-45.548,5.88,2000,1.1176550135027778
Gaia DR3 64897406816672512,64897406816672512,57.10490872564085,23.13006562755134,15.947613490659256,93.61313332968435,-36.16479882932921,4.1021132,14.407032,2.5300303,44.20303,NOT_AVAILABLE,0,true,true,false,false,false,false,true,,,,,,,,Pleiades,56.65833,24.17806,7.364,19.997,-45.548,5.88,2000,1.124774274196663
Gaia DR3 65082159129262720,65082159129262720,55.72271025408254,23.446859021038467,23.823840350306234,170.67558116096535,-54.801065798624116,23.347944,13.959754,3.0626993,,NOT_AVAILABLE,0,false,false,false,false,false,false,true,,,,,,,,Pleiades,56.65833,24.17806,7.364,19.997,-45.548,5.88,2000,1.1256920618706114
Gaia DR3 66943185640494976,66943185640494976,57.04110399534587,25.269432680534482,10.116180840595757,-36.103727022291835,-135.93929581790275,0.94679016,14.874213,2.243312,-101.29033,NOT_AVAILABLE,0,true,true,false,false,false,true,true,3601.2952,4.8546,-0.5411,99.0786,0.5016,0.3406,0.2012,Pleiades,56.65833,24.17806,7.364,19.997,-45.548,5.88,2000,1.1455806758314189
Gaia DR3 68378632428208256,68378632428208256,55.72226032542612,24.959290339194972,14.470182200303574,93.02195084014116,-40.141143051242125,1.0438651,16.315475,3.2338915,,NOT_AVAILABLE,0,true,false,false,false,false,false,true,,,,,,,,Pleiades,56.65833,24.17806,7.364,19.997,-45.548,5.88,2000,1.1556452897454161
Gaia DR3 64861290434850176,64861290434850176,56.37805362437056,23.047297660721316,10.724132956691069,46.468767122904126,-37.99150933163633,0.96303874,17.56197,3.3268223,,NOT_AVAILABLE,0,true,false,false,false,false,false,true,,,,,,,,Pleiades,56.65833,24.17806,7.364,19.997,-45.548,5.88,2000,1.1593789863554607
Gaia DR3 64919878085656960,64919878085656960,57.2027249745506,23.120445916773214,12.86032829545449,4.8877932282168,7.8280979953275835,1.0667378,16.116507,3.0777092,,NOT_AVAILABLE,0,true,false,false,false,false,false,true,,,,,,,,Pleiades,56.65833,24.17806,7.364,19.997,-45.548,5.88,2000,1.1690581022661333
Gaia DR3 65147133394409088,65147133394409088,55.50109613395164,23.667809904376764,11.655744673098805,5.502582785933045,-83.47393632674799,0.9421784,16.272121,2.910409,,NOT_AVAILABLE,0,true,false,false,false,false,false,true,,,,,,,,Pleiades,56.65833,24.17806,7.364,19.997,-45.548,5.88,2000,1.1744357951324746
Gaia DR3 66945178505314944,66945178505314944,57.109721080500194,25.322635887335128,30.95167096364189,14.778146171368723,-99.02796923739986,0.99446046,8.313805,1.0076718,-69.174644,NOT_AVAILABLE,0,true,true,false,false,false,false,true,,,,,,,,Pleiades,56.65833,24.17806,7.364,19.997,-45.548,5.88,2000,1.2159258423513266
Gaia DR3 66640545064340224,66640545064340224,57.98670052917356,24.391908836118947,13.531724743264167,4.08327599132414,-122.40283859475187,1.1992455,14.468292,2.6707354,-15.298292,NOT_AVAILABLE,0,true,true,false,false,false,false,true,,,,,,,,Pleiades,56.65833,24.17806,7.364,19.997,-45.548,5.88,2000,1.2295069317642264
Gaia DR3 66483658500056832,66483658500056832,57.982400168118666,23.947554002036124,16.395678086516217,374.8865436995337,-204.19667748734025,1.1050152,14.951171,2.5003815,-48.66111,NOT_AVAILABLE,0,true,true,false,false,false,false,true,,,,,,,,Pleiades,56.65833,24.17806,7.364,19.997,-45.548,5.88,2000,1.2306548777636006
Gaia DR3 66477954779976960,66477954779976960,58.032910932821025,23.986624739496943,14.478963176727106,22.905634541225567,-120.00764165842034,1.0069206,18.709917,3.7195663,,NOT_AVAILABLE,0,true,false,false,false,false,false,false,,,,,,,,Pleiades,56.65833,24.17806,7.364,19.997,-45.548,5.88,2000,1.269331380997374
