source_id,ra,dec,parallax,pmra,pmdec,radial_velocity,phot_g_mean_mag,l,b,dist_pc,x_pc,y_pc,z_pc
149253931765392256,65.77664329320271,23.766565932798127,30.824753160401347,214.6089606206478,-178.47410472927612,70.69424,14.326937,173.03950054872166,-17.90016052800598,32.44146010825605,-30.643562038161843,3.741113502642149,-9.97118394822018
3240473114535829120,78.73315498992739,5.744862263289857,21.16024744339515,40.89181533659841,-72.63620957349194,,13.607352,196.11031518767535,-18.440031991544803,47.25842656968243,-43.071367826123115,-12.440312281602026,-14.948404121012198
3242577850372716672,78.62245366514438,9.302203173910401,28.495833321522394,-59.65750877325171,40.76754010620972,-10.444878,13.212593,192.87228708794004,-16.668899314090858,35.09284984639203,-32.77333324979939,-7.489413813008815,-10.066052790271034
3276857706646840704,56.5851235728217,6.736576716944641,18.74210305242088,108.65142824357943,16.36308178077518,31.422386,14.163176,180.76931252524275,-35.81906005908389,53.355805226502156,-43.26067819414437,-0.5808976164801652,-31.22528192843556
3277015039888106496,57.53733220479246,6.620524176795481,27.929941073110488,64.5736449784055,-38.03386250000082,4.253172,7.5721917,181.63003913371142,-35.17341942310916,35.80387074152293,-29.254678731579304,-0.8325070561405414,-20.624933075994193
3281714283865078912,72.31005215917453,5.25343035438934,18.488634871142985,101.15523131523939,-101.24264281440144,-21.86975,12.802711,192.92296889238182,-24.12406613471465,54.0872815634862,-48.11314218851436,-11.039681915968071,-22.106220818355215
3282833616765577088,70.83667077714178,6.392584916441729,18.023465828444138,-103.81248604604968,-51.81515631577627,13.051716,10.886171,190.9928516506316,-24.722172882970604,55.48322445407961,-49.473233553572726,-9.610216980622507,-23.204117892321992
3285218255623808640,63.85699151228302,6.199154881274957,45.307607581656825,-101.75317718029704,-112.11499238451059,-8.010125,6.777597,186.6574232244791,-30.504309357516725,22.071348574248237,-18.8882482685969,-2.204630809694809,-11.203486431587283
3296045077903829888,71.72078452583199,12.883771501746121,20.574214191473143,88.88028280188034,-18.539363289806825,43.627132,13.807008,185.75938201192804,-20.301740765638144,48.604529470410775,-45.355028774116064,-4.57451342755861,-16.86402908086378
3299573475139651584,65.9618028617579,9.205391973289979,22.35759064919424,114.287285596903,-5.402224394030945,,11.811197,185.33631433666736,-27.033461530250108,44.727538655245915,-39.66799174768928,-3.7052479532721208,-20.329148591776928
3302507526215650688,57.87521539779252,9.727826688868305,23.494342193420035,215.77215375160498,-247.95706672614833,-32.81022,13.147081,179.05271323781673,-32.891570851075734,42.563438966172285,-35.7356250039784,0.5908806824953494,-23.114114783420987
3305881652522411520,67.83203158167387,10.923734199280053,23.292372952962687,115.19505203618495,-9.523897095419862,,14.855795,185.03659923719084,-24.529359019274043,42.93250850909136,-38.906982895991675,-3.4289644624081888,-17.82383717188179
3306830943374154240,66.4225678922814,11.50336770168119,20.430457930106613,-36.19102153576587,40.24423136260427,8.60016,11.043975,183.60594660400076,-25.28013489122919,48.946528923680454,-44.17132880797434,-2.783627076468217,-20.902340187492328
3306998653257238656,66.25155355209206,11.977858184845939,18.2141627236493,43.99388920262452,-15.37470004679672,38.408478,8.270116,183.07808283716437,-25.121849583906478,54.902331508304705,-49.63723748308768,-2.6692138235622687,-23.308495396731367
3308896238528440448,71.89763218567602,14.888977576344391,20.93206028817838,87.22401539215304,-24.30559187988497,41.53779,10.927766,184.1425555304482,-18.985770844642712,47.77360595338823,-45.056669906356085,-3.263341129678711,-15.542346264661075
3309336867813205760,68.52256353868661,14.21747714186208,18.199448000795204,85.34915099980427,-16.904617893734333,40.86843,11.629388,182.62306131436395,-22.00193326756496,54.94672145860172,-50.891639807305,-2.331502129920654,-20.585123137617312
3312136499294830848,63.943384877766796,15.400600422560654,21.303677442165004,115.59655062933147,-21.520782477177725,37.346058,6.218952,178.59007386867796,-24.70241772044459,46.94025257915162,-42.63186455219791,1.0492904711925666,-19.616585495561303
3313259169388356608,68.40865079618047,16.762386244728727,20.61556113871976,97.99880517969228,-25.49159863900907,40.428852,9.15698,180.39834701082287,-20.521891228114036,48.507047335316955,-45.42761047854217,-0.3158390472940905,-17.00488438939617
3401857232237672960,79.69154523768749,20.097777279472243,36.33174007343168,-24.141874086252432,-36.868099976751296,-6.441327,13.114993,184.14978701891718,-9.912144279647677,27.524142746228392,-27.042202602850008,-1.962029651614941,-4.737948073518009
3406665018628578048,73.81222781008222,18.48170567635046,27.953452453632014,269.76584323831344,-133.7225883837381,-16.49272,12.446176,182.24207537353365,-15.383736509905738,35.773756449539,-34.46560424215716,-1.34938297973092,-9.490149646235505
3408265907558586752,75.04874454111557,19.273700276375866,19.945953287942718,-19.161212239646307,-151.8126267848215,,11.383747,182.290514206778,-13.97166735557569,50.13548290040856,-48.61336465394254,-1.9444531428540455,-12.10481411072531
3409855590918757760,71.98697486918974,19.024550260320087,18.347306942388098,80.28975645418464,-35.07722793303984,40.69326,13.1662655,180.71541556959022,-16.445087975906116,54.50391183513057,-52.27016324353749,-0.6526978505190143,-15.429855000665315
41251790785624576,55.716840083499875,14.209914773535555,20.889164716391583,100.43634419539345,-173.44401413448298,19.580036,13.927086,173.48559502218356,-31.366517337647622,47.871708303171495,-40.61158499145564,4.637448813091604,-24.917738437740873
42108271687608576,51.96896632524306,14.846568774389514,19.62527737533673,175.15398348937745,-129.82733126203289,22.477573,12.721283,169.85906132920678,-33.41415963512342,50.954693830554945,-41.868025666072825,7.488699698524988,-28.060089576050416
45478347841942912,61.76390706278417,15.985092104488828,18.1874822631376,-82.89730912743175,-261.5528953001621,-38.945526,11.9806595,176.57809988699967,-25.90065466649332,54.98287148995882,-49.371812439740616,2.952164518199406,-24.017181732124282
45567511362945152,61.93056278228586,16.51867914556769,21.59088818952663,122.30377721103993,-24.96347377048117,37.819,9.604419,176.25543551525226,-25.425544919887113,46.31583431037741,-41.74056465581638,2.7318443321477104,-19.88514009568095
47345009348203392,64.78389360834417,17.524630513050628,21.390700254048006,113.12486444102618,-27.85180674507326,37.76364,8.279239,177.39645520483873,-22.710709475975708,46.74928768686563,-43.080110773779765,1.9589271817552003,-18.04889357397765
48061409893621248,67.1555527872302,19.74051990049017,20.81034364418756,102.9064061335923,-38.10135516086813,38.178032,8.441752,177.14034105162426,-19.563837984727623,48.05302675908984,-45.222492341855876,2.258951617432689,-16.09088887198868
48509186003340416,62.776059616737115,18.928963628615932,19.938429854034947,109.65774377695688,-28.472279375491738,41.65857,14.192208,174.88289208725823,-23.213326163949166,50.154400688559214,-45.91037645431671,4.111209850022665,-19.76864172927791
48928336156268800,62.65910001027318,20.038940894528633,19.137644213551443,35.1177274585247,-219.14054570541964,31.698456,12.301873,173.91251037916956,-22.546298557665825,52.25303537056541,-47.98720735481433,5.117755748601235,-20.035374012512758
49729231594420096,60.203801951332316,18.193877567460135,21.85669141594702,130.27507482032178,-27.86443910589072,34.040028,5.804048,173.65392483039014,-25.500907532546286,45.752578968579975,-41.04225104653728,4.564516623216581,-19.69764704997873
49968306654050944,58.98887225768766,18.432146391229274,22.855183838984292,136.73872500331092,-30.79173209582898,35.80076,13.001957,172.5740742222697,-26.16608328567253,43.753750004595936,-38.94048193382941,5.075404037244113,-19.29429397735274
61801491310173056,51.87890742512378,22.21025089082787,25.89588870140064,66.6683942245472,-80.36763767509743,10.697219,13.12409,164.19185261054514,-27.891037684780194,38.61616844012435,-32.839629131152044,9.297722245257631,-18.064317993616232
146160558879786624,66.33395210360244,23.108481357312932,18.801548350201966,93.3124178276501,-40.355415089357656,38.34341,12.030182,173.91362948959625,-17.953245909667352,53.18710892176378,-50.31213404295241,5.364711428242712,-16.394437922394157
3241295308714904960,79.42074820691546,7.352695264589854,21.836706771953928,-0.7250906650022393,-146.88555711359777,-78.93965,7.165373,195.03881242664545,-17.022226227896496,45.79445107924215,-42.2885187267238,-11.361883180952598,-13.405989114236178
3288018093264886016,72.46751085027901,6.109359871579163,22.87671570077209,94.16458340321729,3.019157551213014,48.18686,13.400716,192.23169654106937,-23.526330428775445,43.71256840710968,-39.16919612998108,-8.491364352569967,-17.448766223123695
3290081910949989888,76.97927310382855,8.4021572614302,18.722108868029743,23.374268508562956,-61.64650798059067,8.784459,9.246503,192.76217242702134,-18.522303582443328,53.412786297147356,-49.39481871463061,-11.187938074883961,-16.96784210811946
3290597375745377664,78.17313562153602,9.29973987993065,23.737456859882037,-107.586741029831,-326.3411724515959,-33.526184,14.948115,192.62777958092732,-17.045546314165257,42.12751205416912,-39.30267271700955,-8.805198182581268,-12.348913885004816
3294522907134516864,73.09978874091365,10.719381699362312,19.240903920100344,79.12718852935028,-9.106933861730056,41.500313,11.950686,188.4763269727341,-20.440607517417313,51.97261023456038,-48.16818075817308,-7.178437828320463,-18.150719197498272
3299381442858615936,64.3278246232936,8.821105257393242,68.56166015602032,133.6390837345933,-377.2607146642284,8.283157,12.234882,184.57738041683027,-28.55046725253273,14.585411113505412,-12.770910158713619,-1.022448777832118,-6.970844250500944
3301771025223950336,60.74834873825633,9.207744616517619,22.131454823845687,89.84390562691871,-165.82267103251843,27.934275,6.792206,181.68889126996564,-31.074081698309158,45.18455781418143,-38.68379159433745,-1.140601403294393,-23.321825854503224
3302264224908436480,60.443310630912855,10.770954118650277,21.13118243597061,-71.53146453407861,-151.3948458716948,-40.95702,14.208393,180.0720051206787,-30.2991388135586,47.323428446566595,-40.85916415869407,-0.0513488187078416,-23.87536277188298
3304412601908736512,63.61408308649261,12.435256533217302,21.055656069583602,114.7307597892001,-13.098735856191265,38.440006,7.8848915,180.88938560846935,-26.849334280428234,47.49317697322058,-42.36817752193983,-0.6577216415787036,-21.450100109818635
3306922958753764992,66.94247703953242,11.736363784648624,22.151685825715028,110.05162568142825,-12.422514774076658,39.475098,7.3707113,183.74469780641135,-24.734410719687375,45.14329102840286,-40.91417255130203,-2.6778540772292434,-18.888523151862028
3307198077178624128,66.06454223428409,12.24723490104269,19.53082071254342,99.6209113564213,-12.87603975637328,44.042637,14.668587,182.7193312166906,-25.100104890204708,51.2011253760454,-46.313890131424365,-2.1997686163761414,-21.719572709937896
